speaker_A,speaker_B,timestamp_A,timestamp_B,words_A,words_B,time_diff,weight,cosine_similarity,weighted_similarity
mathias,devin,1,2,"And we're on. Welcome to this conversation of the Local Voices Network. We're grateful that you decided to join us. There are three main purposes for this conversation. First, we want to create a new space for community members to listen and learn about each other's lives. Second, we want to connect across groups and build our relationship with one another. And third, we want to create a unique listening channel through which we will lift or lift up the voices and the needs of the community to the candidates, local policy makers and members of the media. This conversation will be recorded, transcribed, and added to a growing collection of similar conversations. We'll be making the recordings available to journalists, public officials, researchers, and other participants and partners in the project at Cortico's discretion. Our goal eventually is to make them assessable to the general public. As a participant in this conversation, you are providing consent to Cortico, the operator, or the Local Voices Network to use their recording in accordance with their missions and fostering conversations in communities, and in the media to improve our understanding of one another. This is a public conversation and portions of it may appear in our local newspapers or website, or be broadcast on a local radio station, or appear somewhere else including other forms of media. So please don't say anything you wouldn't want heard by the general public. If you understand and agree to this, please say I agree and we'll just go one by one.",I agree.,1,0.9048374180359595,0.14893731474876404,0.1347640553264807
mathias,devin,9,12,"Perfect. If you'd like to listen to some of the other discussions that are happening around the city, we'll ask you to provide your contact information at end of the session. I'll just pass around this. This is totally optional. If you do provide your information it will be kept confidential and will not be tied in any way to today's recording. We want to make sure that everyone gets a chance both to share and to learn from others in this conversation. And to support those goals, we have a few guidelines for our conversation. They're also in the handouts in front of you, so please turn off all devices including cell phones and smartwatches. I just did my watch. Speak for yourself and out of your own experiences. Allow others to speak for themselves. Share the time. Allow us to finish speaking and take turns. Stay curious. Ask honest questions. Pause. Take time to reflect. Listen generously, assume good intentions while acknowledging and attempting to impact, and be aware that even well intention comments may be hurtful to others in this group. Is everybody on board with these guidelines?","Yeah. My name's Devin. I use he, him, his pronouns. And just a little bit about me, I'm a very good community organizer. I like to believe, and I just want to test my abilities in my hometown. So just here to listen, learn and possibly question what I don't understand.",3,0.7408182206817179,0.3347938358783722,0.24802137379062278
mathias,devin,11,12,"Awesome. All right, so that was the legal terminology that I had to get through. Right now we can get into the front end part. So why don't we do a quick go around and introductions. Please share just your first name and addition to your first name, please share a little bit about your background info, who you are, like where you live or what you do, and a value that's important to you and how it relates to what brought you here today. You're also welcome to share any gender pronouns if you'll feel comfortable, and then just limit your speaking to two or three sentences or 30 seconds per person. So I'll start. My name is Mathias Lemos Castillo. I am the Community Builder for the Local Voices Network. Please do not say your last name. I just did that. But one of the other things that brought me here to the Local Voices Network essentially is curiosity. I'm curious in seeing how conversations essentially can bring people back together to the table and talk about those difficult issues that are going on in our community. And I'm curious to see how we can work together and collaborate to make a stronger democracy. If you don't mind.","Yeah. My name's Devin. I use he, him, his pronouns. And just a little bit about me, I'm a very good community organizer. I like to believe, and I just want to test my abilities in my hometown. So just here to listen, learn and possibly question what I don't understand.",1,0.9048374180359595,0.4720441997051239,0.42712325486003516
mathias,devin,11,14,"Awesome. All right, so that was the legal terminology that I had to get through. Right now we can get into the front end part. So why don't we do a quick go around and introductions. Please share just your first name and addition to your first name, please share a little bit about your background info, who you are, like where you live or what you do, and a value that's important to you and how it relates to what brought you here today. You're also welcome to share any gender pronouns if you'll feel comfortable, and then just limit your speaking to two or three sentences or 30 seconds per person. So I'll start. My name is Mathias Lemos Castillo. I am the Community Builder for the Local Voices Network. Please do not say your last name. I just did that. But one of the other things that brought me here to the Local Voices Network essentially is curiosity. I'm curious in seeing how conversations essentially can bring people back together to the table and talk about those difficult issues that are going on in our community. And I'm curious to see how we can work together and collaborate to make a stronger democracy. If you don't mind.","Oh yeah, value. Smart work. I would say, because if working hard isn't maybe working out for you, getting your results, perhaps you need to change your approach, so therefore smart work. Being creative. Yeah.",3,0.7408182206817179,0.24941027164459229,0.18476767365949076
mathias,devin,13,14,Do you have a value?,"Oh yeah, value. Smart work. I would say, because if working hard isn't maybe working out for you, getting your results, perhaps you need to change your approach, so therefore smart work. Being creative. Yeah.",1,0.9048374180359595,0.3119059205055237,0.28222414778034727
mathias,devin,21,24,"All right. So right now this next thing we would like to do is, I invite you to share a little bit about your background. Take a minute to think about a personal story from your life that has shaped who you are and what help others understand what's important to you. If it helps, you can reflect on that value. Just select them in the last round and think of a story that illustrates a time when this value has either challenged, or reinforced you. We will go again once. We will just go again once again around the table and just share our story and as a reminder, you're invited to share a personal story that will help other people understand what's important to you. Please remember that this is being recorded, so we ask that you don't say anything that you wouldn't want the public to know, or just be open to the community. Right here, I'll open up the floor and whoever would like to take it.","I guess I have a story about why I switched my college major to Communication Studies. I was at a point where I was seeking some random college courses, because extra science to IGBA, two are to work out. And something just spoke to me in this space of, in this intro argument class about, ""Oh well, if black people are in this situation maybe they should do this."" And I was like, ""Whoa, you're white."" And I'm sure I have a pretty good sense of your exposure of people of color, and that is a terrible and downright offensive statement. So I figured I would rather choose my own narrative, and put myself in a position where I can speak for myself and maybe for some others, if they would allow me to defend them and their right to do or to operate however they would want. So that's what I did. And then I made some statements in that class, and from then on it somewhat got troubling like saying that there was no such thing as reverse racism, because it has to do with power and privilege. Then I applied that to sexism and then I applied that to sports. And while I'm not like the perfect example of a human being, I just addressed some things, and then people really got upset about that. But I noticed that I had facts and evidence and I'm usually an opinionated person. So when I have that going for me, at least I'm controlling the narrative and you would get like, ""Cool, we can like discuss about that."" But I know I'm right. So prove me wrong, but you can't change my narrative. So that's what the core was for changing my major to Communication Studies, and it's worked out so far.",3,0.7408182206817179,0.3721520006656647,0.2756969829562792
mathias,devin,23,24,Thank you.,"I guess I have a story about why I switched my college major to Communication Studies. I was at a point where I was seeking some random college courses, because extra science to IGBA, two are to work out. And something just spoke to me in this space of, in this intro argument class about, ""Oh well, if black people are in this situation maybe they should do this."" And I was like, ""Whoa, you're white."" And I'm sure I have a pretty good sense of your exposure of people of color, and that is a terrible and downright offensive statement. So I figured I would rather choose my own narrative, and put myself in a position where I can speak for myself and maybe for some others, if they would allow me to defend them and their right to do or to operate however they would want. So that's what I did. And then I made some statements in that class, and from then on it somewhat got troubling like saying that there was no such thing as reverse racism, because it has to do with power and privilege. Then I applied that to sexism and then I applied that to sports. And while I'm not like the perfect example of a human being, I just addressed some things, and then people really got upset about that. But I noticed that I had facts and evidence and I'm usually an opinionated person. So when I have that going for me, at least I'm controlling the narrative and you would get like, ""Cool, we can like discuss about that."" But I know I'm right. So prove me wrong, but you can't change my narrative. So that's what the core was for changing my major to Communication Studies, and it's worked out so far.",1,0.9048374180359595,0.11502967774868011,0.10408315661162418
mathias,devin,74,77,"Three. So I just have two more questions. All right, here it would be essentially, I let the conversation go a little longer, because I couldn't bring that voice. But within the conversation will allow you guys to essentially react to that conversation. And then the next part essentially is, here is just a question from my reflection, but given our conversation today, what is the hope? What do you hope is different about your life here five years from now? And then we can just go around real quick.","What I would want in five years, first of all, leaves. And then second of all, probably either invest, and then buy and change the structure of a lot of businesses that didn't hire me, and then be like cool, thank you. Now I own you. Cool, how does it feel now. Cool. And then encourage other people set up or highlight mentorship programs. Because I have a lot of people that are interested in whether that's fitness or music, and taking the time for them to really invest in their dreams and objectives and hold themselves accountable in that sense. And then just don't worry about anything else. Like for me, I do want to leave, but there's certain stuff that I have to focus on first, so I'm focusing on that first. So everybody does that. Cool. If you want to stay, cool. Just make sure that you have certain dreams and objectives outside of your day job, and highlight that to everybody to make sure we have equity instead of just equality. Because equality is not enough.",3,0.7408182206817179,0.4047752916812897,0.29986491135925636
mathias,devin,79,83,"I do have more question than answers. We have a little more time, but what would be one thing you want your local representative to hear? So we do share a lot of stuff with local media, policy makers. Pretend they're on the other side. What's one thing you want them to hear?","I would say, ask people who are in charge of these policies and procedures to put something on it. So just be really radical with it. Like I say, hey, if I don't change this within 30 days I'm going to resign from my job. Like something drastic. Put something on it. Because yeah, like some of us are in a position where if we didn't have a family we would be out here struggling with poverty regardless of our education, you know? So if we bring our voice to the table, or if we take time, like being here right now, that may or may not interfere with my job, putting something on it, it's is my paycheck. Surely you can do the same if you're a politician, you clearly have money, savings, resources that I don't have. So put something on it like for you, like talk, like put something on and show us that you can be vulnerable with your career. Show that you care.",4,0.6703200460356393,0.42421939969062805,0.2843627675298331
mathias,devin,81,83,Thank you.,"I would say, ask people who are in charge of these policies and procedures to put something on it. So just be really radical with it. Like I say, hey, if I don't change this within 30 days I'm going to resign from my job. Like something drastic. Put something on it. Because yeah, like some of us are in a position where if we didn't have a family we would be out here struggling with poverty regardless of our education, you know? So if we bring our voice to the table, or if we take time, like being here right now, that may or may not interfere with my job, putting something on it, it's is my paycheck. Surely you can do the same if you're a politician, you clearly have money, savings, resources that I don't have. So put something on it like for you, like talk, like put something on and show us that you can be vulnerable with your career. Show that you care.",2,0.8187307530779818,0.08146736025810242,0.06669983321539144
